area,date,mean_NDVI,min_NDVI,max_NDVI,spread_max_minus_min
Broad Hualien AOI,2022-01-15,,,,
Broad Hualien AOI,2022-02-15,,,,
Broad Hualien AOI,2022-03-15,0.7230365352071113,-0.15865561366081238,0.9371954798698425,1.095851093530655
Broad Hualien AOI,2022-04-15,0.6868363481057039,-0.2368421107530594,0.9725390672683716,1.209381178021431
Broad Hualien AOI,2022-05-15,0.7279076913523481,-0.14344123005867004,1.0,1.14344123005867
Broad Hualien AOI,2022-06-15,0.6730331349810816,-0.18702442944049835,0.9808967113494873,1.1679211407899857
Broad Hualien AOI,2022-07-15,0.7457358911184436,-0.1671917587518692,0.9892537593841553,1.1564455181360245
Broad Hualien AOI,2022-08-15,0.725759617957599,-0.11511106044054031,0.9693779945373535,1.0844890549778938
Broad Hualien AOI,2022-09-15,0.7676947968978642,-0.06769230961799622,0.9633587598800659,1.0310510694980621
Broad Hualien AOI,2022-10-15,0.742259055679474,-0.20208144187927246,0.9350414276123047,1.1371228694915771
Broad Hualien AOI,2022-11-15,0.7032654854210207,-0.3978022038936615,0.9662027955055237,1.3640049993991852
Broad Hualien AOI,2022-12-15,0.7234660720803782,-0.14203697443008423,0.924410879611969,1.0664478540420532
Broad Hualien AOI,2023-01-15,,,,
Broad Hualien AOI,2023-02-15,0.5368132503027404,-0.05371428653597832,0.8900509476661682,0.9437652342021465
Broad Hualien AOI,2023-03-15,0.6972999747552379,-0.05740181356668472,0.9288101196289062,0.986211933195591
Broad Hualien AOI,2023-04-15,0.6368525283585184,-0.12317327409982681,0.9197530746459961,1.042926348745823
Broad Hualien AOI,2023-05-15,0.6957199995450395,-0.10360750555992126,1.0,1.1036075055599213
Broad Hualien AOI,2023-06-15,0.6804613406948892,-0.11905856430530548,1.0,1.1190585643053055
Broad Hualien AOI,2023-07-15,0.7472055810441359,-0.1390046775341034,0.9589011073112488,1.0979057848453522
Broad Hualien AOI,2023-08-15,0.6973037024595378,-0.15627051889896393,0.948607325553894,1.104877844452858
Broad Hualien AOI,2023-09-15,0.7190212165951608,-0.20300380885601044,0.9436987638473511,1.1467025727033615
Broad Hualien AOI,2023-10-15,0.6940928997764442,-0.07971484214067459,0.9060485363006592,0.9857633784413338
Broad Hualien AOI,2023-11-15,0.6350493006255057,-0.19472403824329376,0.9177230596542358,1.1124470978975296
Broad Hualien AOI,2023-12-15,,,,
Broad Hualien AOI,2024-01-15,0.7057537357686595,-0.059186190366744995,0.9819819927215576,1.0411681830883026
Broad Hualien AOI,2024-02-15,0.7166561855999818,-0.03413475677371025,0.9131339192390442,0.9472686760127544
Broad Hualien AOI,2024-03-15,0.6625272994739922,-0.14803625643253326,0.9210584163665771,1.0690946727991104
Broad Hualien AOI,2024-04-15,0.6183223257063717,-0.058230169117450714,1.0,1.0582301691174507
Broad Hualien AOI,2024-05-15,,,,
Broad Hualien AOI,2024-06-15,0.684774481415562,-0.11952726542949677,0.9286531805992126,1.0481804460287094
Broad Hualien AOI,2024-07-15,0.7458685983514027,-0.1394399255514145,0.9793984293937683,1.1188383549451828
Broad Hualien AOI,2024-08-15,0.7538513735722806,-0.17409707605838776,0.9595205783843994,1.1336176544427872
Broad Hualien AOI,2024-09-15,0.7245345490091935,-0.19654494524002075,0.9466192126274109,1.1431641578674316
Broad Hualien AOI,2024-10-15,0.7005821609573092,-0.17770294845104218,0.9438889026641846,1.1215918511152267
Broad Hualien AOI,2024-11-15,0.6066342789311497,-0.17037037014961243,0.9066634774208069,1.0770338475704193
Broad Hualien AOI,2024-12-15,0.6913194688301981,-0.34464284777641296,0.9262536764144897,1.2708965241909027
Broad Hualien AOI,2025-01-15,0.7065654182269596,-0.10097087174654007,0.9863945841789246,1.0873654559254646
