"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"A0G720","2022-09-14 00:00:00","37.000","-998.000","-998.000","-998.000","-998.000","0.000","3.500","3.500"
"C0K580","2022-09-14 00:00:00","26.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"00H710","2022-09-14 00:00:00","215.000","-998.000","-998.000","-998.000","-998.000","0.000","26.000","26.000"
"C0T9B0","2022-09-14 00:00:00","558.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S990","2022-09-14 00:00:00","409.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01T9J0","2022-09-14 00:00:00","730.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1V340","2022-09-14 00:00:00","190.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1U690","2022-09-14 00:00:00","101.000","-998.000","-998.000","-998.000","-998.000","0.000","7.500","7.500"
"A1AA00","2022-09-14 00:00:00","28.000","4.500","0.000","12.000","14.500","17.000","40.500","40.500"
"C0I490","2022-09-14 00:00:00","1601.000","-998.000","-998.000","-998.000","-998.000","3.000","11.000","11.000"
"CAF020","2022-09-14 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.000","4.000","4.000"
"01A210","2022-09-14 00:00:00","600.000","-998.000","-998.000","-998.000","-998.000","6.000","47.000","47.000"
"72T250","2022-09-14 00:00:00","36.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81F880","2022-09-14 00:00:00","482.000","-998.000","-998.000","-998.000","-998.000","3.500","29.000","29.000"
"C1T980","2022-09-14 00:00:00","1306.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G660","2022-09-14 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C0R810","2022-09-14 00:00:00","25.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E750","2022-09-14 00:00:00","62.000","-998.000","-998.000","-998.000","-998.000","0.000","10.500","10.500"
"CAA020","2022-09-14 00:00:00","27.000","7.000","2.000","17.000","18.000","19.500","33.000","33.000"
"C0T9G0","2022-09-14 00:00:00","605.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01S210","2022-09-14 00:00:00","173.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AG60","2022-09-14 00:00:00","122.000","3.500","0.000","8.500","13.500","15.500","15.500","15.500"
"C0S700","2022-09-14 00:00:00","507.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"467490","2022-09-14 00:00:00","84.000","-998.000","-998.000","-998.000","-998.000","0.000","3.000","3.000"
"01E060","2022-09-14 00:00:00","658.000","-998.000","-998.000","-998.000","-998.000","0.000","23.000","23.000"
"C0V610","2022-09-14 00:00:00","22.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAE090","2022-09-14 00:00:00","89.000","-998.000","-998.000","-998.000","-998.000","0.000","5.000","5.000"
"C0E610","2022-09-14 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","1.500","38.500","38.500"
"C1F9C1","2022-09-14 00:00:00","610.000","-998.000","-998.000","-998.000","-998.000","2.500","10.000","10.000"
"81F910","2022-09-14 00:00:00","572.000","-998.000","-998.000","-998.000","-998.000","0.000","17.000","17.000"
"C0M720","2022-09-14 00:00:00","225.000","-998.000","-998.000","-998.000","-998.000","0.500","5.000","5.000"
"CAP070","2022-09-14 00:00:00","34.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAE100","2022-09-14 00:00:00","47.000","-998.000","-998.000","-998.000","-998.000","0.000","8.000","8.000"
"C1R250","2022-09-14 00:00:00","92.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0K420","2022-09-14 00:00:00","42.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0F9Y0","2022-09-14 00:00:00","3313.000","0.000","0.000","1.500","4.000","10.500","33.000","33.000"
"C0C730","2022-09-14 00:00:00","5.000","-998.000","-998.000","-998.000","-998.000","0.000","2.000","2.000"
"81M710","2022-09-14 00:00:00","1055.000","-998.000","-998.000","-998.000","-998.000","0.000","7.000","7.000"
"C0Z330","2022-09-14 00:00:00","488.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0E590","2022-09-14 00:00:00","40.000","0.000","0.000","0.500","0.500","0.500","8.000","8.000"
"CAP060","2022-09-14 00:00:00","93.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V820","2022-09-14 00:00:00","441.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"01U790","2022-09-14 00:00:00","268.000","-998.000","-998.000","-998.000","-998.000","0.000","5.000","5.000"
"72N100","2022-09-14 00:00:00","41.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72S590","2022-09-14 00:00:00","290.000","2.000","0.000","2.000","2.000","2.000","2.000","2.000"
"C0AC80","2022-09-14 00:00:00","40.000","6.500","2.000","10.500","15.500","19.000","46.500","46.500"
"CAG070","2022-09-14 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"CAF060","2022-09-14 00:00:00","117.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"C0E910","2022-09-14 00:00:00","25.000","-998.000","-998.000","-998.000","-998.000","0.000","3.000","3.000"
"81D640","2022-09-14 00:00:00","608.000","-998.000","-998.000","-998.000","-998.000","8.500","112.000","112.000"
"C0M810","2022-09-14 00:00:00","1354.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"CAD010","2022-09-14 00:00:00","36.000","-998.000","-998.000","-998.000","-998.000","0.000","3.000","3.000"
"72G600","2022-09-14 00:00:00","19.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81S920","2022-09-14 00:00:00","135.000","0.000","0.000","6.500","6.500","6.500","6.500","6.500"
"C0C620","2022-09-14 00:00:00","19.000","0.000","0.000","1.000","1.000","3.000","5.500","5.500"
"CAD050","2022-09-14 00:00:00","75.000","-998.000","-998.000","-998.000","-998.000","0.000","9.500","9.500"
"C1M640","2022-09-14 00:00:00","1567.000","-998.000","-998.000","-998.000","-998.000","1.000","8.000","8.000"
"01P500","2022-09-14 00:00:00","21.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAL080","2022-09-14 00:00:00","72.000","-998.000","-998.000","-998.000","-998.000","0.000","3.500","3.500"
"01U560","2022-09-14 00:00:00","1960.000","-998.000","-998.000","-998.000","-998.000","0.000","26.000","26.000"
"O1I360","2022-09-14 00:00:00","2600.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"81H920","2022-09-14 00:00:00","804.000","-998.000","-998.000","-998.000","-998.000","7.500","20.500","20.500"
"01G090","2022-09-14 00:00:00","7.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G860","2022-09-14 00:00:00","45.000","-998.000","-998.000","-998.000","-998.000","0.000","5.500","5.500"
"C0V790","2022-09-14 00:00:00","410.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0Z200","2022-09-14 00:00:00","153.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X250","2022-09-14 00:00:00","33.000","-998.000","-998.000","-998.000","-998.000","0.500","0.500","0.500"
"01R030","2022-09-14 00:00:00","1080.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"A1AC90","2022-09-14 00:00:00","453.000","5.000","0.000","24.000","45.500","58.000","112.000","112.000"
"C1U930","2022-09-14 00:00:00","5.000","-998.000","-998.000","-998.000","-998.000","0.000","4.500","4.500"
"C0D590","2022-09-14 00:00:00","143.000","-998.000","-998.000","-998.000","-998.000","0.000","3.500","3.500"
"C0S790","2022-09-14 00:00:00","236.000","0.000","0.000","1.500","1.500","1.500","1.500","1.500"
"C0A570","2022-09-14 00:00:00","360.000","0.000","0.000","0.000","1.000","19.000","75.000","75.000"
"C1O940","2022-09-14 00:00:00","55.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"C0E870","2022-09-14 00:00:00","34.000","-998.000","-998.000","-998.000","-998.000","0.000","5.500","5.500"
"C0M800","2022-09-14 00:00:00","440.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"CAJ030","2022-09-14 00:00:00","31.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C1R120","2022-09-14 00:00:00","820.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S910","2022-09-14 00:00:00","212.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"72D680","2022-09-14 00:00:00","101.900","-998.000","-998.000","-998.000","-998.000","0.000","4.500","4.500"
"A0A010","2022-09-14 00:00:00","17.000","11.000","3.000","15.500","18.500","22.000","38.000","38.000"
"01A410","2022-09-14 00:00:00","15.000","7.000","0.000","9.000","12.000","14.000","24.000","24.000"
"81H940","2022-09-14 00:00:00","460.000","-998.000","-998.000","-998.000","-998.000","2.000","7.000","7.000"
"81AH50","2022-09-14 00:00:00","10.000","0.500","0.000","2.000","6.500","9.500","18.500","18.500"
"C0F0E0","2022-09-14 00:00:00","3557.000","0.000","0.000","0.500","1.500","2.000","9.500","9.500"
"C1SA50","2022-09-14 00:00:00","1235.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1AI60","2022-09-14 00:00:00","181.000","17.000","5.000","20.000","20.000","33.500","66.500","66.500"
"81AI00","2022-09-14 00:00:00","172.000","-998.000","-998.000","-998.000","-998.000","8.500","51.500","51.500"
"C0V770","2022-09-14 00:00:00","26.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"O1V510","2022-09-14 00:00:00","1067.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0UA10","2022-09-14 00:00:00","1711.000","0.000","0.000","0.000","0.500","4.000","79.500","79.500"
"C1Z030","2022-09-14 00:00:00","218.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01S260","2022-09-14 00:00:00","153.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1O850","2022-09-14 00:00:00","44.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"88R460","2022-09-14 00:00:00","189.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"21U110","2022-09-14 00:00:00","1150.000","0.000","0.000","0.000","1.500","11.500","56.500","56.500"
"C0S660","2022-09-14 00:00:00","794.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"E2S960","2022-09-14 00:00:00","26.000","1.000","0.000","24.000","24.000","24.000","24.000","24.000"
"C1D400","2022-09-14 00:00:00","839.000","0.000","0.000","0.000","0.500","6.500","119.000","119.000"
"CAP020","2022-09-14 00:00:00","24.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0G900","2022-09-14 00:00:00","20.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81F900","2022-09-14 00:00:00","143.000","-998.000","-998.000","-998.000","-998.000","0.500","5.000","5.000"
"C0UA00","2022-09-14 00:00:00","392.000","0.000","0.000","0.000","0.500","0.500","14.000","14.000"
"C0AD40","2022-09-14 00:00:00","32.000","0.500","0.500","0.500","1.000","13.500","35.500","35.500"
"81T860","2022-09-14 00:00:00","98.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0D670","2022-09-14 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","3.000","3.000"
"81T890","2022-09-14 00:00:00","103.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAG090","2022-09-14 00:00:00","48.000","-998.000","-998.000","-998.000","-998.000","0.500","3.500","3.500"
